,gamma,max_depth,eta,min_child_weight,auc,logloss
122,14,5,0.41000000000000003,0.81,0.7481418,0.4720842
123,14,5,0.81,0.01,0.7434896,0.475047
124,14,5,0.81,0.41000000000000003,0.7434896,0.475047
125,14,5,0.81,0.81,0.7434896,0.475047
126,14,8,0.01,0.01,0.7420191999999999,0.5698918
127,14,8,0.01,0.41000000000000003,0.7420191999999999,0.5698918
128,14,8,0.01,0.81,0.7420198,0.5698914
129,14,8,0.41000000000000003,0.01,0.7473308000000001,0.4722612
130,14,8,0.41000000000000003,0.41000000000000003,0.7473308000000001,0.4722612
131,14,8,0.41000000000000003,0.81,0.7474917999999999,0.47211680000000006
132,14,8,0.81,0.01,0.7416748,0.4768014000000001
133,14,8,0.81,0.41000000000000003,0.7416748,0.4768014000000001
134,14,8,0.81,0.81,0.7416748,0.4768014000000001
135,14,11,0.01,0.01,0.7423029999999999,0.5697876000000001
136,14,11,0.01,0.41000000000000003,0.7423438000000001,0.5697867999999999
137,14,11,0.01,0.81,0.742356,0.5697850000000001
138,14,11,0.41000000000000003,0.01,0.747103,0.47257499999999997
139,14,11,0.41000000000000003,0.41000000000000003,0.7474054,0.4724394
140,14,11,0.41000000000000003,0.81,0.7478178,0.47217840000000005
141,14,11,0.81,0.01,0.738569,0.47915539999999995
142,14,11,0.81,0.41000000000000003,0.738569,0.47915539999999995
143,14,11,0.81,0.81,0.738857,0.47925380000000006
144,12,2,0.01,0.01,0.7038222,0.5844590000000001
145,12,2,0.01,0.41000000000000003,0.7038222,0.5844590000000001
146,12,2,0.01,0.81,0.7038222,0.5844590000000001
147,12,2,0.41000000000000003,0.01,0.7428147999999999,0.4755566
148,12,2,0.41000000000000003,0.41000000000000003,0.7428147999999999,0.4755566
149,12,2,0.41000000000000003,0.81,0.7428147999999999,0.4755566
150,12,2,0.81,0.01,0.7413359999999999,0.47678339999999997
151,12,2,0.81,0.41000000000000003,0.7413359999999999,0.47678339999999997
152,12,2,0.81,0.81,0.7413093999999999,0.4768586
153,12,5,0.01,0.01,0.7372143999999999,0.5721006
154,12,5,0.01,0.41000000000000003,0.7372143999999999,0.5721006
155,12,5,0.01,0.81,0.7372143999999999,0.5721006
156,12,5,0.41000000000000003,0.01,0.7487784000000001,0.47146540000000003
157,12,5,0.41000000000000003,0.41000000000000003,0.7487784000000001,0.47146540000000003
158,12,5,0.41000000000000003,0.81,0.748748,0.47145840000000006
159,12,5,0.81,0.01,0.7424902,0.4757466
160,12,5,0.81,0.41000000000000003,0.7424902,0.4757466
161,12,5,0.81,0.81,0.7422676,0.4758438
162,12,8,0.01,0.01,0.742373,0.569671
163,12,8,0.01,0.41000000000000003,0.742373,0.569671
164,12,8,0.01,0.81,0.7424071999999999,0.5696676
165,12,8,0.41000000000000003,0.01,0.7468047999999999,0.4725452
166,12,8,0.41000000000000003,0.41000000000000003,0.7468047999999999,0.4725452
167,12,8,0.41000000000000003,0.81,0.7466846,0.4727482
168,12,8,0.81,0.01,0.7407082,0.477283
169,12,8,0.81,0.41000000000000003,0.7407082,0.477283
170,12,8,0.81,0.81,0.740802,0.47723080000000007
171,12,11,0.01,0.01,0.742748,0.5694771999999999
172,12,11,0.01,0.41000000000000003,0.7427428,0.5694779999999999
173,12,11,0.01,0.81,0.7428572000000001,0.5694738
174,12,11,0.41000000000000003,0.01,0.7453264,0.4740189999999999
175,12,11,0.41000000000000003,0.41000000000000003,0.7454691999999999,0.47393840000000004
176,12,11,0.41000000000000003,0.81,0.745172,0.47421940000000007
177,12,11,0.81,0.01,0.7366472,0.48160479999999994
178,12,11,0.81,0.41000000000000003,0.7366472,0.48160479999999994
179,12,11,0.81,0.81,0.7365654,0.4816624
